epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.68742,2.91483,4.24749,2.44821,0.00125,0.375,0.00232,0.00067,2.96906,5.87635,2.56051,2e-05,2e-05,2e-05
2,15.3734,2.91794,4.58804,2.33916,0.00208,0.625,0.00221,0.00078,2.3,4.79723,2.2504,5.802e-05,5.802e-05,5.802e-05
3,21.9053,2.3795,3.97582,2.14122,0.00292,0.875,0.00499,0.00227,1.73133,4.67745,1.89163,9.34e-05,9.34e-05,9.34e-05
4,28.1293,1.87802,3.75078,1.79881,0.00292,0.875,0.00577,0.00279,2.07067,4.46396,1.95287,0.00012614,0.00012614,0.00012614
5,34.1775,1.87058,3.55709,1.64329,0.00333,1,0.01258,0.0031,2.22348,4.33439,1.96971,0.00015624,0.00015624,0.00015624
6,40.3927,1.7439,3.34663,1.52645,0.00333,1,0.03143,0.01514,1.9523,4.2643,1.8929,0.0001837,0.0001837,0.0001837
7,46.5957,1.67866,2.88348,1.52812,0.00333,1,0.02311,0.00874,1.69057,3.95568,1.72049,0.00020852,0.00020852,0.00020852
8,52.7123,1.7077,2.79214,1.56957,0.00333,1,0.04979,0.01519,1.67461,4.16472,1.58691,0.0002307,0.0002307,0.0002307
9,58.7343,1.51477,2.43082,1.38053,0.00333,1,0.05967,0.01899,1.69507,4.21009,1.64593,0.00025024,0.00025024,0.00025024
10,64.7818,1.42135,2.45789,1.39186,0.00333,1,0.07809,0.02615,1.58007,4.2832,1.60512,0.00026714,0.00026714,0.00026714
11,71.4496,1.73714,2.8201,1.52531,0.00333,1,0.08893,0.02975,1.66176,4.28467,1.62012,0.0002814,0.0002814,0.0002814
12,77.5402,1.55656,2.56941,1.48035,0.00333,1,0.08686,0.0378,1.55723,4.17247,1.47246,0.00029302,0.00029302,0.00029302
13,83.6967,1.66841,2.47566,1.46988,0.00333,1,0.08686,0.03765,1.42427,4.09966,1.44089,0.000302,0.000302,0.000302
14,90.1624,1.49071,2.49714,1.31149,0.00333,1,0.10785,0.04818,1.39059,3.9452,1.46556,0.00030834,0.00030834,0.00030834
15,96.4021,1.49125,2.39541,1.3986,0.00333,1,0.11025,0.05073,1.37685,3.79215,1.51155,0.00031204,0.00031204,0.00031204
16,102.816,1.57928,2.53525,1.48504,0.00333,1,0.11627,0.05213,1.34467,3.80981,1.55362,0.0003131,0.0003131,0.0003131
17,109.491,1.49157,2.18693,1.33593,0.00333,1,0.11536,0.0423,1.30428,3.79386,1.54651,0.00031152,0.00031152,0.00031152
18,115.932,1.36989,1.90334,1.29696,0.00333,1,0.15715,0.04607,1.41438,3.76303,1.51053,0.0003073,0.0003073,0.0003073
19,122.572,1.32247,2.17607,1.21684,0.00333,1,0.17337,0.04392,1.37655,3.64545,1.41828,0.00030044,0.00030044,0.00030044
20,129.388,1.14361,1.793,1.15329,0.00333,1,0.1529,0.04147,1.30403,3.63713,1.34679,0.00029094,0.00029094,0.00029094
21,136.015,1.28513,2.37643,1.38142,0.00333,1,0.17245,0.04973,1.29154,3.64525,1.31683,0.0002788,0.0002788,0.0002788
22,142.127,1.20419,2.31065,1.32498,0.00333,1,0.1823,0.06534,1.25184,3.62417,1.29238,0.00026402,0.00026402,0.00026402
23,148.252,1.18062,2.44653,1.19012,0.00333,1,0.16313,0.06238,1.18236,3.62462,1.26047,0.0002466,0.0002466,0.0002466
24,154.238,1.23246,2.54431,1.23062,0.00333,1,0.15241,0.06884,1.15068,3.63509,1.24986,0.00022654,0.00022654,0.00022654
25,160.394,1.20324,2.12053,1.35128,0.00333,1,0.15366,0.06941,1.17101,3.51804,1.26683,0.00020384,0.00020384,0.00020384
26,166.575,1.11383,2.00254,1.19889,0.00333,1,0.14255,0.07833,1.20265,3.4648,1.27488,0.0001785,0.0001785,0.0001785
27,172.616,1.0228,1.90311,1.13087,0.00333,1,0.1627,0.10075,1.2369,3.47043,1.30173,0.00015052,0.00015052,0.00015052
28,178.729,0.99247,1.87303,1.15618,0.00333,1,0.1627,0.10075,1.2369,3.47043,1.30173,0.0001199,0.0001199,0.0001199
29,184.925,1.07916,2.06575,1.13951,0.00333,1,0.18729,0.11798,1.25826,3.44727,1.30072,8.664e-05,8.664e-05,8.664e-05
30,192.048,1.0505,1.92261,1.2629,0.00333,1,0.23749,0.1456,1.25365,3.40448,1.29879,5.074e-05,5.074e-05,5.074e-05
