epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3092,2.69681,4.89754,2.44307,0.00051,0.18182,0.01027,0.00233,2.09323,8.10825,2.24955,4e-05,4e-05,4e-05
2,63.2338,2.25825,4.81458,2.17849,0.00179,0.63636,0.0633,0.01849,2.15155,7.84653,2.04646,9.7525e-05,9.7525e-05,9.7525e-05
3,89.1104,1.83752,4.25816,1.78907,0.00231,0.81818,0.13363,0.0483,1.99846,8.06929,1.80551,0.00015208,0.00015208,0.00015208
4,115.446,1.5965,3.90955,1.64874,0.00256,0.90909,0.35016,0.16454,1.75951,6.87278,1.63791,0.000203665,0.000203665,0.000203665
5,141.151,1.65388,3.54598,1.57453,0.00256,0.90909,0.56043,0.24262,1.64381,6.79747,1.54935,0.00025228,0.00025228,0.00025228
6,166.927,1.43039,2.85924,1.42974,0.00231,0.81818,0.61076,0.34914,1.66394,7.04533,1.57534,0.000297925,0.000297925,0.000297925
7,193.228,1.39525,3.17146,1.36581,0.00231,0.81818,0.63137,0.36512,1.75592,6.67503,1.60846,0.0003406,0.0003406,0.0003406
8,224.724,1.41896,2.7273,1.3552,0.00231,0.81818,0.63039,0.4361,1.52979,6.29602,1.50819,0.000380305,0.000380305,0.000380305
9,257.413,1.44712,2.99651,1.43642,0.00256,0.90909,0.60651,0.41327,1.37294,6.36053,1.45875,0.00041704,0.00041704,0.00041704
10,289.542,1.42467,2.65696,1.35482,0.00282,1,0.65698,0.38448,1.46874,6.54067,1.48655,0.000450805,0.000450805,0.000450805
11,321.426,1.3706,2.9182,1.33914,0.00256,0.90909,0.60715,0.38712,1.57719,6.19798,1.50234,0.0004816,0.0004816,0.0004816
12,352.498,1.41315,2.6861,1.35932,0.00256,0.90909,0.64795,0.40753,1.59783,6.26994,1.53689,0.000509425,0.000509425,0.000509425
13,384.183,1.31859,2.14218,1.26155,0.00288,1,0.73773,0.39934,1.60669,5.96254,1.54786,0.00053428,0.00053428,0.00053428
14,415.216,1.27369,2.11488,1.24764,0.00282,1,0.72427,0.35441,1.68663,5.97914,1.61621,0.000556165,0.000556165,0.000556165
15,447.039,1.20555,2.17755,1.20241,0.52297,0.54545,0.6882,0.30047,1.73775,6.3562,1.67539,0.00057508,0.00057508,0.00057508
16,478.815,1.35441,2.44437,1.29934,0.10756,0.90909,0.51883,0.28011,1.73987,6.14751,1.84219,0.000591025,0.000591025,0.000591025
17,510.761,1.4225,2.20983,1.29087,0.29259,0.18182,0.38701,0.22336,1.67263,6.18753,1.8186,0.000604,0.000604,0.000604
18,542.177,1.32929,2.35249,1.23354,0.00256,0.90909,0.20004,0.11417,1.77161,6.36655,1.83818,0.000614005,0.000614005,0.000614005
19,572.179,1.35498,2.32958,1.30264,0.00256,0.90909,0.19019,0.08496,1.81981,6.00818,1.89113,0.00062104,0.00062104,0.00062104
20,601.827,1.25047,2.03312,1.18338,0.00231,0.81818,0.1561,0.07739,1.81377,5.88312,1.96153,0.000625105,0.000625105,0.000625105
21,632.858,1.33392,2.05447,1.19366,0.00231,0.81818,0.1296,0.05279,2.00045,6.40538,2.08233,0.0006262,0.0006262,0.0006262
22,663.278,1.23393,2.10165,1.26691,0.30195,0.18182,0.20621,0.10221,1.96024,6.1123,1.90665,0.000624325,0.000624325,0.000624325
23,695.07,1.28351,1.91862,1.27643,0.5777,0.36364,0.41287,0.24254,1.97813,5.82296,1.92168,0.00061948,0.00061948,0.00061948
24,725.656,1.21721,2.00811,1.20858,0.49786,0.54545,0.48031,0.30281,1.80595,5.46825,1.86287,0.000611665,0.000611665,0.000611665
25,756.496,1.14926,1.78221,1.16516,0.73238,0.50061,0.56868,0.34225,1.75092,5.57271,1.86104,0.00060088,0.00060088,0.00060088
26,784.668,1.13607,1.85854,1.13223,0.79664,0.54545,0.58893,0.35504,1.79826,5.48376,1.81572,0.000587125,0.000587125,0.000587125
27,847.852,1.08715,2.07434,1.1183,0.7722,0.36364,0.34806,0.17613,1.8384,5.43975,1.84435,0.0005704,0.0005704,0.0005704
28,892.465,1.1032,1.77565,1.10026,0.81254,0.54545,0.66273,0.36639,1.94037,5.29707,1.91361,0.000550705,0.000550705,0.000550705
29,937.658,1.0784,1.76014,1.09169,0.81254,0.54545,0.66273,0.36639,1.94037,5.29707,1.91361,0.00052804,0.00052804,0.00052804
30,976.177,1.06373,1.71785,1.08962,1,0.53747,0.66936,0.37368,1.9509,5.14657,1.96356,0.000502405,0.000502405,0.000502405
31,1009.57,1.00447,2.56662,1.08988,0.85075,0.54545,0.70187,0.39937,1.85713,4.80432,1.87371,0.0004738,0.0004738,0.0004738
32,1043.42,0.96598,2.37194,1.10128,0.71452,0.68476,0.71943,0.43202,1.63476,4.49962,1.66557,0.000442225,0.000442225,0.000442225
33,1076.97,1.02656,2.44506,1.07511,0.71452,0.68476,0.71943,0.43202,1.63476,4.49962,1.66557,0.00040768,0.00040768,0.00040768
34,1112.9,0.98895,2.51717,1.13552,0.758,0.54545,0.70124,0.41314,1.54998,4.51051,1.55695,0.0003665,0.0003665,0.0003665
35,1147.51,0.97987,2.37225,1.03062,0.63902,0.80548,0.74656,0.46014,1.47979,4.51592,1.45935,0.000317,0.000317,0.000317
36,1182.36,0.94015,2.66598,1.07567,0.66648,0.90909,0.80915,0.51827,1.44129,4.43209,1.42088,0.0002675,0.0002675,0.0002675
37,1216.16,0.99482,2.2788,1.07361,0.66648,0.90909,0.80915,0.51827,1.44129,4.43209,1.42088,0.000218,0.000218,0.000218
38,1249.7,0.95566,2.26025,1.02518,0.70175,0.72727,0.78247,0.50373,1.46015,4.27877,1.42428,0.0001685,0.0001685,0.0001685
39,1283.91,0.94382,2.23624,1.06631,0.73486,0.72727,0.78358,0.50074,1.46268,4.20729,1.43403,0.000119,0.000119,0.000119
40,1318.32,0.88248,2.24161,1.03143,0.75525,0.90909,0.83527,0.50903,1.44803,4.11865,1.42163,6.95e-05,6.95e-05,6.95e-05
